"start_typeName","start_depthzone","start_alongshorezone","end_typeName","end_depthzone","end_alongshorezone","typeName","id","parentID","origID","time","horizPos1","horizPos2","vertPos","track","alive","age","ageInStage","number","size","weight","temperature","salinity"
"egg01","SpawningArea_300to600m",8,"benthic.juvenile","NurseryArea_050to150m",12,"benthic.juvenile",5384,5384,5384,"1997-09-14 12:20:00",-159.36738,55.066,37.52891,"-159.36738:55.066:-37.52891;","true",256.01389,0,600,42.01477,0,7.769,32.06429
"egg01","SpawningArea_300to600m",8,"benthic.juvenile","NurseryArea_050to150m",12,"benthic.juvenile",5384,5384,5384,"1997-09-14 12:40:00",-159.36738,55.066,37.52891,"-159.36738:55.066:-37.52891;-159.36738:55.066:-37.52891;","false",256.02778,0.01389,600,42.01477,0,7.769,32.06429
"egg01","SpawningArea_300to600m",7,"benthic.juvenile","NurseryArea_050to150m",12,"benthic.juvenile",6841,6841,6841,"1997-09-13 20:40:00",-157.12057,56.53034,21.51383,"-157.12057:56.53034:-21.51383;","true",255.36111,0,600,42.00893,0,11.83815,31.42771
"egg01","SpawningArea_300to600m",7,"benthic.juvenile","NurseryArea_050to150m",12,"benthic.juvenile",6841,6841,6841,"1997-09-13 21:00:00",-157.12057,56.53034,21.51383,"-157.12057:56.53034:-21.51383;-157.12057:56.53034:-21.51383;","false",255.375,0.01389,600,42.00893,0,11.83815,31.42771
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",7,"benthic.juvenile",7499,7499,7499,"1997-09-18 03:20:00",-154.19436,56.40523,46.33104,"-154.19436:56.40523:-46.33104;","true",259.63889,0,600,43.51737,0,11.58568,32.26529
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",7,"benthic.juvenile",7499,7499,7499,"1997-09-18 03:40:00",-154.19436,56.40523,46.33104,"-154.19436:56.40523:-46.33104;-154.19436:56.40523:-46.33104;","false",259.65278,0.01389,600,43.51737,0,11.58568,32.26529
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",7,"benthic.juvenile",7567,7567,7567,"1997-09-14 14:40:00",-152.29312,58.89738,39.15519,"-152.29312:58.89738:-39.15519;","true",256.11111,0,600,42.01477,0,9.69263,32.03773
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",7,"benthic.juvenile",7567,7567,7567,"1997-09-14 15:00:00",-152.29312,58.89738,39.15519,"-152.29312:58.89738:-39.15519;-152.29312:58.89738:-39.15519;","false",256.125,0.01389,600,42.01477,0,9.69263,32.03773
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",7,"benthic.juvenile",7609,7609,7609,"1997-09-14 19:00:00",-157.07905,56.52841,22.77947,"-157.07905:56.52841:-22.77947;","true",256.29167,0,600,42.00893,0,11.50765,31.48623
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",7,"benthic.juvenile",7609,7609,7609,"1997-09-14 19:20:00",-157.07905,56.52841,22.77947,"-157.07905:56.52841:-22.77947;-157.07905:56.52841:-22.77947;","false",256.30556,0.01389,600,42.00893,0,11.50765,31.48623
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",9,"benthic.juvenile",7686,7686,7686,"1997-09-14 05:00:00",-150.34677,59.42652,38.16035,"-150.34677:59.42652:-38.16035;","true",255.70833,0,600,42.00893,0,9.13335,32.08207
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",9,"benthic.juvenile",7686,7686,7686,"1997-09-14 05:20:00",-150.34677,59.42652,38.16035,"-150.34677:59.42652:-38.16035;-150.34677:59.42652:-38.16035;","false",255.72222,0.01389,600,42.00893,0,9.13335,32.08207
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",12,"benthic.juvenile",7692,7692,7692,"1997-09-13 17:20:00",-160.08182,55.29496,48.29206,"-160.08182:55.29496:-48.29206;","true",255.22222,0,600,42.06148,0,7.41906,32.15537
