"start_typeName","start_depthzone","start_alongshorezone","end_typeName","end_depthzone","end_alongshorezone","typeName","id","parentID","origID","time","horizPos1","horizPos2","vertPos","track","alive","age","ageInStage","number","size","weight","temperature","salinity"
"egg01","SpawningArea_300to600m",9,"postflexion.larva","exited grid",-1,"benthic.juvenile",3875,3875,3875,"1997-09-13 16:40:00",-160.08162,55.29488,47.92885,"-160.08162:55.29488:-47.92885;","true",255.19444,0,600,42.0498,0,7.41816,32.15547
"egg01","SpawningArea_300to600m",9,"postflexion.larva","exited grid",-1,"benthic.juvenile",3875,3875,3875,"1997-09-13 17:00:00",-160.08162,55.29488,47.92885,"-160.08162:55.29488:-47.92885;-160.08162:55.29488:-47.92885;","false",255.20833,0.01389,600,42.0498,0,7.41816,32.15547
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",3909,3909,3909,"1997-09-12 04:20:00",-157.02708,56.55703,39.12117,"-157.02708:56.55703:-39.12117;","true",253.68056,0,600,42.00893,0,9.62388,31.96675
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",3909,3909,3909,"1997-09-12 04:40:00",-157.02708,56.55703,39.12117,"-157.02708:56.55703:-39.12117;-157.02708:56.55703:-39.12117;","false",253.69444,0.01389,600,42.00893,0,9.62388,31.96675
"egg01","SpawningArea_300to600m",9,"postflexion.larva","exited grid",-1,"benthic.juvenile",3939,3939,3939,"1997-09-12 18:20:00",-159.9446,55.08533,29.08358,"-159.9446:55.08533:-29.08358;","true",254.26389,0,600,42.00893,0,8.55434,31.98535
"egg01","SpawningArea_300to600m",9,"postflexion.larva","exited grid",-1,"benthic.juvenile",3939,3939,3939,"1997-09-12 18:40:00",-159.9446,55.08533,29.08358,"-159.9446:55.08533:-29.08358;-159.9446:55.08533:-29.08358;","false",254.27778,0.01389,600,42.00893,0,8.55434,31.98535
"egg01","SpawningArea_300to600m",9,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4008,4008,4008,"1997-09-18 22:20:00",-162.25236,54.33567,49.80223,"-162.25236:54.33567:-49.80223;","true",260.43056,0,600,44.61901,0,7.21566,32.63106
"egg01","SpawningArea_300to600m",9,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4008,4008,4008,"1997-09-18 22:40:00",-162.25236,54.33567,49.80223,"-162.25236:54.33567:-49.80223;-162.25236:54.33567:-49.80223;","false",260.44444,0.01389,600,44.61901,0,7.21566,32.63106
"egg01","SpawningArea_300to600m",9,"postflexion.larva","exited grid",-1,"benthic.juvenile",4034,4034,4034,"1997-09-13 20:20:00",-159.31244,55.74979,41.16386,"-159.31244:55.74979:-41.16386;","true",255.34722,0,600,42.01477,0,9.27163,31.75397
"egg01","SpawningArea_300to600m",9,"postflexion.larva","exited grid",-1,"benthic.juvenile",4034,4034,4034,"1997-09-13 20:40:00",-159.31244,55.74979,41.16386,"-159.31244:55.74979:-41.16386;-159.31244:55.74979:-41.16386;","false",255.36111,0.01389,600,42.01477,0,9.27163,31.75397
"egg01","SpawningArea_300to600m",9,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4054,4054,4054,"1997-09-13 07:00:00",-159.98926,55.04874,24.88401,"-159.98926:55.04874:-24.88401;","true",254.79167,0,600,42.00893,0,8.89481,31.94637
"egg01","SpawningArea_300to600m",9,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4054,4054,4054,"1997-09-13 07:20:00",-159.98926,55.04874,24.88401,"-159.98926:55.04874:-24.88401;-159.98926:55.04874:-24.88401;","false",254.80556,0.01389,600,42.00893,0,8.89481,31.94637
"egg01","SpawningArea_300to600m",9,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4117,4117,4117,"1997-09-12 05:20:00",-160.05595,55.31626,32.01603,"-160.05595:55.31626:-32.01603;","true",253.72222,0,600,42.00893,0,7.3729,32.12222
"egg01","SpawningArea_300to600m",9,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4117,4117,4117,"1997-09-12 05:40:00",-160.05595,55.31626,32.01603,"-160.05595:55.31626:-32.01603;-160.05595:55.31626:-32.01603;","false",253.73611,0.01389,600,42.00893,0,7.3729,32.12222
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",4128,4128,4128,"1997-09-11 16:40:00",-161.8774,54.82233,31.86628,"-161.8774:54.82233:-31.86628;","true",253.19444,0,600,42.00893,0,9.70756,31.46852
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",4128,4128,4128,"1997-09-11 17:00:00",-161.8774,54.82233,31.86628,"-161.8774:54.82233:-31.86628;-161.8774:54.82233:-31.86628;","false",253.20833,0.01389,600,42.00893,0,9.70756,31.46852
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",4140,4140,4140,"1997-09-20 03:20:00",-160.39137,55.37388,45.11637,"-160.39137:55.37388:-45.11637;","true",261.63889,0,600,44.66862,0,8.35814,31.79621
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",4140,4140,4140,"1997-09-20 03:40:00",-160.39137,55.37388,45.11637,"-160.39137:55.37388:-45.11637;-160.39137:55.37388:-45.11637;","false",261.65278,0.01389,600,44.66862,0,8.35814,31.79621
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",4145,4145,4145,"1997-09-13 20:20:00",-161.27705,54.74376,46.84649,"-161.27705:54.74376:-46.84649;","true",255.34722,0,600,42.01477,0,8.22488,31.74297
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",4145,4145,4145,"1997-09-13 20:40:00",-161.27705,54.74376,46.84649,"-161.27705:54.74376:-46.84649;-161.27705:54.74376:-46.84649;","false",255.36111,0.01389,600,42.01477,0,8.22488,31.74297
"egg01","SpawningArea_300to600m",9,"large.yolk.sac.larva","exited grid",-1,"benthic.juvenile",4246,4246,4246,"1997-09-14 15:00:00",-160.0306,55.33776,49.3396,"-160.0306:55.33776:-49.3396;","true",256.125,0,600,42.01477,0,7.2207,32.15905
"egg01","SpawningArea_300to600m",9,"large.yolk.sac.larva","exited grid",-1,"benthic.juvenile",4246,4246,4246,"1997-09-14 15:20:00",-160.0306,55.33776,49.3396,"-160.0306:55.33776:-49.3396;-160.0306:55.33776:-49.3396;","false",256.13889,0.01389,600,42.01477,0,7.2207,32.15905
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","IntermediateShelfZone",11,"benthic.juvenile",4281,4281,4281,"1997-09-12 09:00:00",-159.99051,55.04634,27.22359,"-159.99051:55.04634:-27.22359;","true",253.875,0,600,42.00893,0,8.73725,31.96447
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","IntermediateShelfZone",11,"benthic.juvenile",4281,4281,4281,"1997-09-12 09:20:00",-159.99051,55.04634,27.22359,"-159.99051:55.04634:-27.22359;-159.99051:55.04634:-27.22359;","false",253.88889,0.01389,600,42.00893,0,8.73725,31.96447
"egg01","SpawningArea_300to600m",9,"large.yolk.sac.larva","exited grid",-1,"benthic.juvenile",4312,4312,4312,"1997-09-14 13:40:00",-160.06835,55.35224,45.70952,"-160.06835:55.35224:-45.70952;","true",256.06944,0,600,42.01477,0,7.54243,32.13446
"egg01","SpawningArea_300to600m",9,"large.yolk.sac.larva","exited grid",-1,"benthic.juvenile",4312,4312,4312,"1997-09-14 14:00:00",-160.06835,55.35224,45.70952,"-160.06835:55.35224:-45.70952;-160.06835:55.35224:-45.70952;","false",256.08333,0.01389,600,42.01477,0,7.54243,32.13446
"egg01","SpawningArea_300to600m",9,"postflexion.larva","exited grid",-1,"benthic.juvenile",4339,4339,4339,"1997-09-12 15:00:00",-160.0307,55.33779,49.26126,"-160.0307:55.33779:-49.26126;","true",254.125,0,600,42.01477,0,7.03071,32.11002
"egg01","SpawningArea_300to600m",9,"postflexion.larva","exited grid",-1,"benthic.juvenile",4339,4339,4339,"1997-09-12 15:20:00",-160.0307,55.33779,49.26126,"-160.0307:55.33779:-49.26126;-160.0307:55.33779:-49.26126;","false",254.13889,0.01389,600,42.01477,0,7.03071,32.11002
"egg01","SpawningArea_300to600m",9,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4392,4392,4392,"1997-09-12 18:00:00",-160.06866,55.35236,45.89933,"-160.06866:55.35236:-45.89933;","true",254.25,0,600,42.01477,0,7.30669,32.08698
"egg01","SpawningArea_300to600m",9,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4392,4392,4392,"1997-09-12 18:20:00",-160.06866,55.35236,45.89933,"-160.06866:55.35236:-45.89933;-160.06866:55.35236:-45.89933;","false",254.26389,0.01389,600,42.01477,0,7.30669,32.08698
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","NurseryArea_050to150m",12,"benthic.juvenile",4466,4466,4466,"1997-09-11 23:40:00",-162.08243,54.43629,47.97219,"-162.08243:54.43629:-47.97219;","true",253.48611,0,600,42.01477,0,7.03787,31.88693
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","NurseryArea_050to150m",12,"benthic.juvenile",4466,4466,4466,"1997-09-12 00:00:00",-162.08243,54.43629,47.97219,"-162.08243:54.43629:-47.97219;-162.08243:54.43629:-47.97219;","false",253.5,0.01389,600,42.01477,0,7.03787,31.88693
"egg01","SpawningArea_300to600m",9,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4548,4548,4548,"1997-09-17 18:40:00",-158.27665,56.35291,47.72194,"-158.27665:56.35291:-47.72194;","true",259.27778,0,600,44.10761,0,9.65204,31.77631
"egg01","SpawningArea_300to600m",9,"small.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4548,4548,4548,"1997-09-17 19:00:00",-158.27665,56.35291,47.72194,"-158.27665:56.35291:-47.72194;-158.27665:56.35291:-47.72194;","false",259.29167,0.01389,600,44.10761,0,9.65204,31.77631
"egg01","SpawningArea_300to600m",9,"large.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4549,4549,4549,"1997-09-18 06:40:00",-159.7589,55.11905,49.50482,"-159.7589:55.11905:-49.50482;","true",259.77778,0,600,44.90499,0,7.51868,32.23863
"egg01","SpawningArea_300to600m",9,"large.feeding.preflexion.larva","exited grid",-1,"benthic.juvenile",4549,4549,4549,"1997-09-18 07:00:00",-159.7589,55.11905,49.50482,"-159.7589:55.11905:-49.50482;-159.7589:55.11905:-49.50482;","false",259.79167,0.01389,600,44.90499,0,7.51868,32.23863
"egg01","SpawningArea_300to600m",9,"postflexion.larva","exited grid",-1,"benthic.juvenile",4571,4571,4571,"1997-09-20 07:20:00",-160.40311,55.36967,45.99439,"-160.40311:55.36967:-45.99439;","true",261.80556,0,600,44.95491,0,8.53894,31.77729
"egg01","SpawningArea_300to600m",9,"postflexion.larva","exited grid",-1,"benthic.juvenile",4571,4571,4571,"1997-09-20 07:40:00",-160.40311,55.36967,45.99439,"-160.40311:55.36967:-45.99439;-160.40311:55.36967:-45.99439;","false",261.81944,0.01389,600,44.95491,0,8.53894,31.77729
"egg01","SpawningArea_300to600m",9,"postflexion.larva","exited grid",-1,"benthic.juvenile",4593,4593,4593,"1997-09-12 07:00:00",-157.06412,56.57269,37.42605,"-157.06412:56.57269:-37.42605;","true",253.79167,0,600,42.00893,0,8.94862,32.00793
"egg01","SpawningArea_300to600m",9,"postflexion.larva","exited grid",-1,"benthic.juvenile",4593,4593,4593,"1997-09-12 07:20:00",-157.06412,56.57269,37.42605,"-157.06412:56.57269:-37.42605;-157.06412:56.57269:-37.42605;","false",253.80556,0.01389,600,42.00893,0,8.94862,32.00793
"egg01","SpawningArea_300to600m",8,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",4620,4620,4620,"1997-09-13 04:20:00",-158.01438,56.48827,43.37031,"-158.01438:56.48827:-43.37031;","true",254.68056,0,600,42.01477,0,9.50143,31.54418
"egg01","SpawningArea_300to600m",8,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",4620,4620,4620,"1997-09-13 04:40:00",-158.01438,56.48827,43.37031,"-158.01438:56.48827:-43.37031;-158.01438:56.48827:-43.37031;","false",254.69444,0.01389,600,42.01477,0,9.50143,31.54418
"egg01","SpawningArea_300to600m",9,"settlement.stage.larva","OffshelfZone",9,"benthic.juvenile",4624,4624,4624,"1997-09-14 17:40:00",-159.51645,54.73197,39.38107,"-159.51645:54.73197:-39.38107;","true",256.23611,0,600,42.01477,0,10.15218,31.8406
